Name,Type,PhyD,MagD,FirD,LitD,HolD,CriD,StaD,StrS,DexS,IntS,FaiS,ArcS,Any,PhyB,MagB,FirB,LitB,HolB,Bst,Rst,Wgt,Upgrade
Academy Glintstone Staff,Glintstone Staff,43,0,0,0,0,100,40,D,-,S,-,-,-,25,15,15,15,15,15,10,3,Smithing Stones
Alabaster Lord's Sword,Greatsword,313,93,0,0,0,100,126,B,D,D,-,-,-,56,33,27,27,27,39,19,8,Somber Smithing Stones
Albinauric Bow,Bow,200,0,0,0,0,100,60,E,D,-,-,-,-,0,0,0,0,0,0,0,4.5,Smithing Stones
Albinauric Staff,Glintstone Staff,29,0,0,0,0,100,38,D,-,B,-,S,-,23,14,14,14,14,14,9,2.5,Smithing Stones
Antspur Rapier,Thrusting Sword,240,0,0,0,0,100,62,D,C,-,-,-,(55),47,31,31,31,31,25,10,3,Smithing Stones
Arbalest,Crossbow,308,0,0,0,0,100,68,-,-,-,-,-,-,0,0,0,0,0,0,0,6,Smithing Stones
Astrologer's Staff,Glintstone Staff,43,0,0,0,0,100,40,D,-,S,-,-,-,25,15,15,15,15,15,10,3,Smithing Stones
Axe of Godfrey,Colossal Weapon,404,0,0,0,0,100,150,C,D,-,-,-,-,75,45,45,45,45,50,25,18,Somber Smithing Stones
Axe of Godrick,Greataxe,347,0,0,0,0,100,150,C,C,-,-,-,-,65,35,35,35,35,42,20,11,Somber Smithing Stones
Azur's Glintstone Staff,Glintstone Staff,58,0,0,0,0,100,42,C,-,S,-,-,-,25,15,15,15,15,15,10,4,Somber Smithing Stones
Bandit's Curved Sword,Curved Sword,289,0,0,0,0,100,98,D,C,-,-,-,-,48,36,36,36,36,36,12,5,Smithing Stones
Banished Knight's Greatsword,Greatsword,347,0,0,0,0,100,132,C,D,-,-,-,-,68,36,36,36,36,52,21,10,Smithing Stones
Banished Knight's Halberd,Halberd,306,0,0,0,0,100,122,C,C,-,-,-,-,55,35,35,35,35,50,15,8,Smithing Stones
Bastard Sword,Greatsword,338,0,0,0,0,100,126,C,D,-,-,-,-,65,35,35,35,35,50,20,9,Smithing Stones
Bastard's Stars,Flail,159,191,0,0,0,100,106,E,C,B,-,-,-,32,48,24,24,24,20,15,5.5,Somber Smithing Stones
Battle Axe,Axe,301,0,0,0,0,100,112,C,D,-,-,-,-,47,31,31,31,31,37,15,4.5,Smithing Stones
Battle Hammer,Warhammer,320,0,0,0,0,100,194,B,E,-,-,-,-,68,36,36,36,36,52,21,10,Smithing Stones
